letter	number	name	frequency	specialisation
A1	7	Electrical Machinery, apparatus, energy	0.0233	0.3877
A2	7	Audio-Visual Technology	0.0233	0.8792
A5	1	Basic Communication Processes	0.0033	0.3367
B1	1	Optics	0.0033	0.1746
B2	1	Measurement	0.0033	0.0664
B5	7	Medical Technology	0.0233	0.5043
C10	1	Chemical Engineering	0.0033	0.1078
C2	2	Biotechnology	0.0066	0.2332
C5	1	Food chemistery	0.0033	0.287
C6	8	Basic materials chemistery	0.0266	0.9399
C7	18	Materials, metallurgy	0.0598	2.9314
C8	4	Surface technology, coating	0.0133	0.9048
C9	3	Micro-structural and nano-technology	0.01	16.6667
D1	20	Handling	0.0664	1.5587
D2	12	Machine Tools	0.0399	1.2315
D4	1	Textile and Paper Machines	0.0033	0.1231
D5	26	Other Special Machines	0.0864	2.1654
D6	8	Thermal Processes and Apparatus	0.0266	1.3039
D7	13	Mechanical Elements	0.0432	1.0562
D8	96	Transport	0.3189	5.5461
E1	20	Furniture, Games	0.0664	2.7782
E2	2	Other Consumer Goods	0.0066	0.3041
E3	42	Civil Engineering	0.1395	2.9307
