letter	number	name	frequency	specialisation
A2	2	Audio-Visual Technology	0.0152	0.5736
A3	1	Telecommunications	0.0076	0.2946
A6	12	Computer Technology	0.0909	2.8056
B1	2	Optics	0.0152	0.8042
B2	11	Measurement	0.0833	1.6761
B4	2	Control	0.0152	0.962
B5	45	Medical Technology	0.3409	7.3788
C1	2	Organic Fine Chemistery	0.0152	0.3312
C10	6	Chemical Engineering	0.0455	1.4869
C11	5	Environmental Technology	0.0379	2.4934
C2	1	Biotechnology	0.0076	0.2686
C5	7	Food chemistery	0.053	4.6087
C6	1	Basic materials chemistery	0.0076	0.2686
D1	2	Handling	0.0152	0.3568
D2	1	Machine Tools	0.0076	0.2346
D3	2	Engines, Pumps, Turbines	0.0152	0.451
D5	8	Other Special Machines	0.0606	1.5188
D6	3	Thermal Processes and Apparatus	0.0227	1.1127
D7	1	Mechanical Elements	0.0076	0.1858
D8	1	Transport	0.0076	0.1322
E1	2	Furniture, Games	0.0152	0.636
E3	15	Civil Engineering	0.1136	2.3866
