letter	number	name	frequency	specialisation
A1	1664	Electrical Machinery, apparatus, energy	0.0769	1.2795
A2	321	Audio-Visual Technology	0.0148	0.5585
A3	187	Telecommunications	0.0086	0.3333
A4	147	Digital Communication	0.0068	0.1937
A5	42	Basic Communication Processes	0.0019	0.1939
A6	258	Computer Technology	0.0119	0.3673
A7	50	IT Methods for Management	0.0023	0.5476
A8	187	Semiconductors	0.0086	0.5695
B1	228	Optics	0.0105	0.5556
B2	1301	Measurement	0.0601	1.2093
B3	86	Analysis of Biological Materials	0.004	0.5063
B4	490	Control	0.0226	1.4304
B5	2083	Medical Technology	0.0962	2.0823
C1	186	Organic Fine Chemistery	0.0086	0.1874
C10	666	Chemical Engineering	0.0308	1.0065
C11	300	Environmental Technology	0.0139	0.9145
C2	169	Biotechnology	0.0078	0.2756
C3	448	Pharmaceuticals	0.0207	0.4803
C4	492	Macromolecular chemistery, polymers	0.0227	0.8631
C5	114	Food chemistery	0.0053	0.4609
C6	309	Basic materials chemistery	0.0143	0.5053
C7	589	Materials, metallurgy	0.0272	1.3333
C8	424	Surface technology, coating	0.0196	1.3333
C9	6	Micro-structural and nano-technology	3e-04	0.5
D1	2461	Handling	0.1137	2.669
D2	792	Machine Tools	0.0366	1.1296
D3	444	Engines, Pumps, Turbines	0.0205	0.6083
D4	1394	Textile and Paper Machines	0.0644	2.403
D5	1099	Other Special Machines	0.0508	1.2732
D6	666	Thermal Processes and Apparatus	0.0308	1.5098
D7	666	Mechanical Elements	0.0308	0.7531
D8	685	Transport	0.0316	0.5496
E1	573	Furniture, Games	0.0265	1.1088
E2	822	Other Consumer Goods	0.038	1.7512
E3	1298	Civil Engineering	0.06	1.2605
