"","source","target","flow"
"1","Aalborg","Aalborg",26
"2","Aalborg","Aarhus",1
"3","Aalborg","Amsterdam",1
"4","Aalborg","Annecy",1
"5","Aalborg","Bale",1
"6","Aalborg","Barcelone",2
"7","Aalborg","Berlin",2
"8","Aalborg","Berne",3
"9","Aalborg","Bologna",3
"10","Aalborg","Bremen",2
"11","Aalborg","Brighton",1
"12","Aalborg","Bruxelles",2
"13","Aalborg","Calais",1
"14","Aalborg","Cologne",6
"15","Aalborg","Copenhague",2
"16","Aalborg","Den Haag",1
"17","Aalborg","Dusseldorf",3
"18","Aalborg","Eindhoven",2
"19","Aalborg","Erfurt",1
"20","Aalborg","Essen",3
"21","Aalborg","Exeter",1
"22","Aalborg","Forli",1
"23","Aalborg","Frankfurt",4
"24","Aalborg","Freiburg",1
"25","Aalborg","Geneve",2
"26","Aalborg","Genova",1
"27","Aalborg","Goteborg",4
"28","Aalborg","Hamburg",1
"29","Aalborg","Hannover",2
"30","Aalborg","Helsinki",8
"31","Aalborg","Linz",3
"32","Aalborg","London",9
"33","Aalborg","Lubeck",1
"34","Aalborg","Lyon",2
"35","Aalborg","Manchester",3
"36","Aalborg","Mannheim",5
"37","Aalborg","Memmingen",3
"38","Aalborg","Milano",6
"39","Aalborg","Molde",1
"40","Aalborg","Monchengladbach",1
"41","Aalborg","Munchen",8
"42","Aalborg","Munster",3
"43","Aalborg","Nantes",1
"44","Aalborg","Nimes",1
"45","Aalborg","Nurnberg",2
"46","Aalborg","Orleans",1
"47","Aalborg","Paderborn",3
"48","Aalborg","Paris",13
"49","Aalborg","Parma",3
"50","Aalborg","Rotterdam",2
"51","Aalborg","Rzeszow",1
"52","Aalborg","Sevilla",1
"53","Aalborg","Siegen",1
"54","Aalborg","Stockholm",1
"55","Aalborg","Stuttgart",6
"56","Aalborg","Thessaloniki",1
"57","Aalborg","Torino",1
"58","Aalborg","Toulouse",1
"59","Aalborg","Utrecht",5
"60","Aalborg","Venezia",3
"61","Aalborg","Verona",1
"62","Aalborg","Vicenza",2
"63","Aalborg","Vitoria-Gasteiz",1
"64","Aalborg","Wien",1
"65","Aalborg","Zurich",7
"66","Aalborg","Zwolle",2
"67","Aarhus","Aalborg",3
"68","Aarhus","Aarhus",94
"69","Aarhus","Amsterdam",5
"70","Aarhus","Ancona",3
"71","Aarhus","Angouleme",2
"72","Aarhus","Baden-Baden",1
"73","Aarhus","Bale",8
"74","Aarhus","Barcelone",7
"75","Aarhus","Bari",2
"76","Aarhus","Beauvais",1
"77","Aarhus","Belfast",1
"78","Aarhus","Bergerac",1
"79","Aarhus","Berlin",8
"80","Aarhus","Berne",1
"81","Aarhus","Besancon",1
"82","Aarhus","Birmingham",6
"83","Aarhus","Bologna",4
"84","Aarhus","Bolzano",1
"85","Aarhus","Bourges",2
"86","Aarhus","Braunschweig",1
"87","Aarhus","Bregenz",2
"88","Aarhus","Bremen",3
"89","Aarhus","Brighton",1
"90","Aarhus","Bristol",1
"91","Aarhus","Bruxelles",2
"92","Aarhus","Caen",1
"93","Aarhus","Calais",1
"94","Aarhus","Camborne-Redruth",1
"95","Aarhus","Cambridge",2
"96","Aarhus","Cardiff",1
"97","Aarhus","Cologne",4
"98","Aarhus","Copenhague",13
"99","Aarhus","Cuneo",1
"100","Aarhus","Den Haag",6
"101","Aarhus","Dijon",1
"102","Aarhus","Dortmund",5
"103","Aarhus","Dresden",1
"104","Aarhus","Dublin",1
"105","Aarhus","Dusseldorf",4
"106","Aarhus","Edinburgh",1
"107","Aarhus","Eindhoven",7
"108","Aarhus","Emden",1
"109","Aarhus","Enschede",1
"110","Aarhus","Erfurt",1
"111","Aarhus","Esbjerg",9
"112","Aarhus","Essen",2
"113","Aarhus","Falun",1
"114","Aarhus","Firenze",1
"115","Aarhus","Flensburg",1
"116","Aarhus","Frankfurt",18
"117","Aarhus","Freiburg",1
"118","Aarhus","Friedrichshafen",2
"119","Aarhus","Gavle-Sandviken",3
"120","Aarhus","Geneve",6
"121","Aarhus","Genova",1
"122","Aarhus","Groningen",1
"123","Aarhus","Hamburg",19
"124","Aarhus","Hannover",8
"125","Aarhus","Helsinki",16
"126","Aarhus","Ingolstadt",1
"127","Aarhus","Innsbruck",3
"128","Aarhus","Karlsruhe",3
"129","Aarhus","Kassel",2
"130","Aarhus","Kaunas",1
"131","Aarhus","Kiel",1
"132","Aarhus","La Rochelle",4
"133","Aarhus","Leeds",2
"134","Aarhus","Leicester-Nottingham",2
"135","Aarhus","Liege",1
"136","Aarhus","Linz",3
"137","Aarhus","London",34
"138","Aarhus","Lubeck",5
"139","Aarhus","Lugano",1
"140","Aarhus","Luxembourg",2
"141","Aarhus","Lyon",2
"142","Aarhus","Madrid",2
"143","Aarhus","Maidstone",1
"144","Aarhus","Mannheim",13
"145","Aarhus","Marseille",1
"146","Aarhus","Metz-Nancy",1
"147","Aarhus","Milano",9
"148","Aarhus","Munchen",34
"149","Aarhus","Munster",12
"150","Aarhus","Nantes",1
"151","Aarhus","Napoli",1
"152","Aarhus","Nevers",1
"153","Aarhus","Newcastle",2
"154","Aarhus","Nurnberg",16
"155","Aarhus","Orleans",2
"156","Aarhus","Oslo",3
"157","Aarhus","Ostende-Bruges",1
"158","Aarhus","Paderborn",9
"159","Aarhus","Pamplona",18
"160","Aarhus","Paris",18
"161","Aarhus","Perugia",2
"162","Aarhus","Roma",2
"163","Aarhus","Rotterdam",23
"164","Aarhus","Saarbrucken",1
"165","Aarhus","Saint-Gall",1
"166","Aarhus","Salzburg",5
"167","Aarhus","San Sebastian",1
"168","Aarhus","Siegen",1
"169","Aarhus","Sion",1
"170","Aarhus","Stavanger",1
"171","Aarhus","Stockholm",5
"172","Aarhus","Strasbourg",2
