"","source","target","flow"
"1","Aarhus","Berne",1
"2","Aarhus","Den Haag",1
"3","Aberdeen","Paris",1
"4","Agen","Agen",2
"5","Agen","Anvers",1
"6","Agen","Bale",1
"7","Agen","London",1
"8","Agen","Memmingen",1
"9","Alicante","Alicante",1
"10","Amsterdam","Amsterdam",41
"11","Amsterdam","Angers",1
"12","Amsterdam","Bale",10
"13","Amsterdam","Barcelone",1
"14","Amsterdam","Berlin",14
"15","Amsterdam","Berne",1
"16","Amsterdam","Cologne",3
"17","Amsterdam","Copenhague",1
"18","Amsterdam","Den Haag",3
"19","Amsterdam","Dortmund",1
"20","Amsterdam","Dresden",1
"21","Amsterdam","Dublin",1
"22","Amsterdam","Dusseldorf",2
"23","Amsterdam","Firenze",1
"24","Amsterdam","Frankfurt",8
"25","Amsterdam","Geneve",3
"26","Amsterdam","Goteborg",1
"27","Amsterdam","Hannover",1
"28","Amsterdam","London",20
"29","Amsterdam","Lugano",1
"30","Amsterdam","Madrid",1
"31","Amsterdam","Malmo",1
"32","Amsterdam","Mannheim",2
"33","Amsterdam","Munchen",1
"34","Amsterdam","Nurnberg",1
"35","Amsterdam","Oslo",4
"36","Amsterdam","Palma de Mallorca",1
"37","Amsterdam","Paris",15
"38","Amsterdam","Rotterdam",2
"39","Amsterdam","Siena",1
"40","Amsterdam","Stockholm",2
"41","Amsterdam","Strasbourg",2
"42","Amsterdam","Utrecht",1
"43","Amsterdam","Wien",2
"44","Amsterdam","Zurich",3
"45","Amsterdam","Zwolle",1
"46","Angers","Angers",4
"47","Angers","Bale",1
"48","Angers","Berlin",1
"49","Angers","Dusseldorf",1
"50","Angers","Lyon",3
"51","Angers","Manchester",1
"52","Angers","Paris",6
"53","Annecy","Annecy",1
"54","Annecy","Cognac",1
"55","Annecy","Paris",1
"56","Anvers","Anvers",66
"57","Anvers","Bale",5
"58","Anvers","Berlin",1
"59","Anvers","Cologne",2
"60","Anvers","Copenhague",1
"61","Anvers","Den Haag",1
"62","Anvers","Dusseldorf",2
"63","Anvers","Frankfurt",3
"64","Anvers","Goteborg",1
"65","Anvers","Hannover",1
"66","Anvers","Lisboa",1
"67","Anvers","London",6
"68","Anvers","Lyon",1
"69","Anvers","Madrid",1
"70","Anvers","Maidstone",1
"71","Anvers","Memmingen",1
"72","Anvers","Milano",2
"73","Anvers","Munchen",1
