source,target,flow1,flow2
"Aalborg","Aalborg",26,26
"Aalborg","Aarhus",1,3
"Aalborg","Amsterdam",1,2
"Aalborg","Annecy",1,2
"Aalborg","Bale",1,4
"Aalborg","Barcelone",2,2
"Aalborg","Berlin",2,3
"Aalborg","Berne",3,4
"Aalborg","Bologna",3,2
"Aalborg","Bremen",2,4
"Aalborg","Brighton",1,1
"Aalborg","Bruxelles",2,2
"Aalborg","Calais",1,1
"Aalborg","Cologne",6,5
"Aalborg","Copenhague",2,8
"Aalborg","Den Haag",1,4
"Aalborg","Dusseldorf",3,3
"Aalborg","Eindhoven",2,11
"Aalborg","Erfurt",1,2
"Aalborg","Essen",3,2
"Aalborg","Exeter",1,10
"Aalborg","Forli",1,1
"Aalborg","Frankfurt",4,4
"Aalborg","Freiburg",1,38
"Aalborg","Geneve",2,1
"Aalborg","Genova",1,1
"Aalborg","Goteborg",4,1
"Aalborg","Hamburg",1,1
"Aalborg","Hannover",2,13
"Aalborg","Helsinki",8,8
"Aalborg","Linz",3,2
"Aalborg","London",9,4
"Aalborg","Lubeck",1,2
"Aalborg","Lyon",2,3
"Aalborg","Manchester",3,10
"Aalborg","Mannheim",5,1
"Aalborg","Memmingen",3,1
"Aalborg","Milano",6,4
"Aalborg","Molde",1,1
"Aalborg","Monchengladbach",1,1
"Aalborg","Munchen",8,4
"Aalborg","Munster",3,3
"Aalborg","Nantes",1,1
"Aalborg","Nimes",1,1
"Aalborg","Nurnberg",2,2
"Aalborg","Orleans",1,2
"Aalborg","Paderborn",3,4
"Aalborg","Paris",13,15
"Aalborg","Parma",3,6
"Aalborg","Rotterdam",2,3
"Aalborg","Rzeszow",1,1
"Aalborg","Sevilla",1,1
"Aalborg","Siegen",1,1
"Aalborg","Stockholm",1,8
"Aalborg","Stuttgart",6,9
"Aalborg","Thessaloniki",1,1
"Aalborg","Torino",1,1
"Aalborg","Toulouse",1,2
"Aalborg","Utrecht",5,1
"Aalborg","Venezia",3,2
"Aalborg","Verona",1,5
"Aalborg","Vicenza",2,2
"Aalborg","Vitoria-Gasteiz",1,5
"Aalborg","Wien",1,5
"Aalborg","Zurich",7,4
